DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Karnataka,29,Tumakuru,548,Tumakuru,56,4,56,657,0,1,0,12,8,16,40,0,2,16,37,606,40,0,0,5,29,0,0,6,85,0,5,59,0,0,0,42,8,0,0,90,3,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,0,,5,4,19,6,32,0,0,5,4,3,0,6,196,314,41,140,1,61,0,10,0,14,0,12,0,0,0,0,1,5,3,0,0,166,11,9,3,0,0,240,371,1013,5,0,0,0,0,13,9,56,47,0,58,0,30,
2019,Karnataka,29,Udupi,549,Udupi,16,0,11,242,0,0,0,6,3,3,21,0,3,0,124,63,26,0,0,4,2,0,0,0,0,0,7,72,4,0,1,3,11,0,4,19,4,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,1,0,1,0,0,1,,0,0,13,0,45,0,0,0,6,1,0,7,29,134,13,63,4,20,1,3,0,2,0,7,0,0,0,0,1,0,0,0,2,121,10,6,0,0,2,66,248,647,0,0,0,11,0,8,4,24,62,0,53,2,34,
2019,Karnataka,29,Uttara Kannada,550,Uttara Kannada,21,5,21,197,0,0,0,14,2,8,29,0,1,3,72,201,50,13,0,2,15,0,0,0,0,0,6,73,0,4,0,29,36,1,3,33,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,1,0,0,0,2,0,0,,0,2,30,19,39,0,0,1,0,1,0,9,36,93,11,63,0,13,0,6,0,2,0,55,0,0,0,0,0,1,0,0,4,44,22,3,0,0,0,84,403,430,1,0,0,6,0,3,6,30,50,0,41,9,51,
2019,Karnataka,29,Yadgir,635,Yadgiri,14,4,4,148,0,1,0,6,3,6,42,1,0,0,30,96,15,0,0,4,29,0,0,0,2,0,7,147,0,0,0,1,0,0,1,9,5,0,0,0,9,7,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,,1,3,44,11,10,0,1,0,49,0,0,2,25,121,6,36,2,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,29,1,4,2,0,0,42,23,215,4,0,0,6,0,5,4,23,53,3,12,1,11,
2019,Karnataka,29,Belagavi,527,Belagavi City,18,0,27,116,0,0,0,11,1,12,65,1,1,5,13,107,15,1,0,3,26,0,0,1,9,0,2,25,0,0,0,3,5,0,3,18,8,0,0,0,1,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,4,17,0,21,0,0,0,33,3,0,8,155,56,57,100,8,19,1,2,0,2,0,3,0,0,0,0,0,1,1,0,0,102,4,1,0,0,0,27,45,358,1,0,3,0,1,16,6,6,77,0,18,0,8,
2019,Karnataka,29,Kalaburagi,538,Kalaburgi City,31,1,14,103,0,0,0,0,2,4,64,1,0,0,71,85,15,0,0,5,19,0,0,0,40,0,8,44,0,0,0,0,0,0,1,3,15,3,0,1,2,5,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,0,0,74,1,0,0,181,65,27,73,0,59,2,7,0,2,0,5,0,0,0,0,0,10,0,0,9,38,6,2,2,0,0,42,60,303,3,0,0,4,0,2,2,13,37,0,22,3,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Karnataka,29,Bagalkote,524,Bagalkot,36,3,43,318,0,0,0,14,4,13,59,0,1,10,7,94,25,4,0,0,17,0,0,0,0,0,1,33,0,0,0,3,95,1,7,21,2,0,0,0,2,3,0,2,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,19,0,6,0,0,0,62,1,0,4,73,98,6,52,0,7,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,60,5,0,8,0,6,45,26,349,1,2,2,4,0,1,2,14,31,0,21,2,38,
2020,Karnataka,29,Bengaluru Urban,525,Bengaluru City,179,10,155,480,0,1,18,85,28,99,502,2,16,29,499,1406,146,43,1,43,103,1,1,7,58,0,39,345,9,2,1,91,50,11,52,625,38,0,1,30,2,7,0,9,6,0,0,0,108,5,0,1,0,0,0,0,2,0,0,0,0,,3,0,50,5,31,0,2,45,58,15,0,64,3797,1535,130,781,92,503,25,32,0,212,2,115,1,0,0,0,8,24,2,9,259,1595,73,7,131,0,0,443,727,1496,385,1,10,17,0,88,55,307,401,4,292,22,764,
2020,Karnataka,29,Bengaluru Urban,525,Bengaluru District,71,2,135,395,0,0,0,5,7,19,78,0,2,9,379,19,34,33,0,14,7,0,0,0,0,0,12,97,9,0,0,0,18,0,4,106,32,0,0,2,1,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,10,9,20,0,,0,0,45,0,10,0,0,0,5,2,0,6,596,202,57,140,5,81,0,9,0,37,0,20,0,0,0,0,0,82,0,0,0,167,16,1,17,0,0,173,504,642,54,0,0,4,0,7,13,112,86,0,59,3,15,
2020,Karnataka,29,Belagavi,527,Belagavi District,82,3,66,509,0,0,0,12,2,34,107,0,3,5,31,297,33,75,1,8,88,0,0,10,9,0,11,100,0,0,0,11,120,0,0,19,29,0,0,2,1,2,0,5,0,0,0,0,31,1,0,0,0,0,3,0,0,2,1,3,0,,0,15,93,65,34,0,0,1,82,3,0,2,183,110,14,96,3,20,0,8,0,1,0,14,0,0,0,0,2,0,0,0,0,90,13,3,139,0,2,59,63,904,0,0,0,10,0,7,6,42,93,3,73,0,99,
2020,Karnataka,29,Ballari,528,Ballari,52,1,22,325,0,0,0,3,9,20,108,0,3,2,104,161,26,0,1,3,14,0,0,13,0,0,14,72,0,0,0,15,57,0,8,35,25,0,0,0,4,0,0,5,0,0,0,0,29,0,0,0,0,28,1,3,0,0,0,0,0,,0,0,18,0,2,0,0,0,129,2,0,5,149,263,22,120,1,16,0,3,0,1,0,13,0,0,0,0,2,1,2,0,5,118,8,2,110,0,3,37,374,251,5,0,0,7,0,12,11,57,87,0,37,0,368,
2020,Madhya Pradesh,23,Jabalpur,411,Jabalpur Railway,0,0,0,0,0,0,0,3,1,4,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,24,0,16,
2020,Karnataka,29,Bidar,529,Bidar,25,1,43,180,0,1,0,5,8,19,47,11,4,15,62,490,25,0,1,16,27,0,0,1,0,0,19,73,0,0,0,4,0,0,0,16,14,0,0,0,1,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,0,0,0,,0,0,29,5,65,0,0,0,52,6,0,37,131,61,10,95,0,15,0,1,0,0,2,5,0,0,0,0,1,4,0,0,0,21,6,2,1,0,0,19,242,604,110,0,0,4,0,2,8,34,61,0,24,4,9,
2020,Karnataka,29,Vijayapura,530,Vijayapura,77,0,36,368,0,0,0,11,3,21,102,1,1,5,12,207,0,0,1,0,33,0,0,32,0,0,4,120,0,0,0,6,4,0,4,37,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,,19,21,47,2,42,0,0,0,55,1,0,1,146,98,16,61,1,8,0,8,0,3,0,4,0,0,0,0,1,24,0,0,0,35,11,2,202,0,0,0,0,448,0,0,0,4,0,8,1,29,90,0,34,2,165,
2020,Karnataka,29,Chikkaballapura,630,Chikkaballapura,27,4,0,217,0,0,0,4,6,18,49,0,1,6,0,420,30,0,0,0,11,0,0,0,0,0,5,20,0,0,0,12,22,3,3,37,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,,0,0,0,0,0,0,0,0,234,0,0,5,64,101,13,59,2,19,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,76,7,4,5,0,0,0,368,0,94,0,0,2,0,6,9,26,26,0,31,0,18,
2020,Karnataka,29,Chamarajanagara,531,Chamarajnagar,25,1,13,135,0,0,0,0,4,15,46,0,2,3,0,257,19,0,0,0,9,0,0,0,0,0,1,51,0,0,0,3,81,1,2,13,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,,8,8,28,0,62,0,0,0,0,1,0,3,43,34,8,39,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,16,5,4,4,0,0,20,248,115,31,0,0,1,0,3,7,9,17,0,19,1,17,
2020,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,28,2,10,165,0,1,0,17,2,13,65,0,3,4,215,183,45,3,8,15,9,0,0,2,10,0,17,94,0,0,0,12,33,0,4,54,0,0,1,1,1,2,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,2,0,0,0,,2,0,24,8,50,0,0,0,0,0,0,13,71,167,21,66,0,20,0,3,0,1,0,5,0,0,0,0,2,1,1,0,10,57,4,1,7,0,0,71,268,251,0,0,0,7,1,16,7,31,50,0,47,0,171,
2020,Karnataka,29,Chitradurga,533,Chitradurga,26,3,48,297,0,0,0,5,6,15,37,0,1,1,195,162,16,0,0,0,4,0,0,0,0,0,2,180,0,0,0,4,54,0,1,28,28,0,0,1,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,53,0,,24,7,48,7,11,0,0,0,4,2,0,14,96,113,15,78,0,18,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,61,5,2,72,0,0,149,663,307,564,0,0,7,0,8,5,21,46,0,36,2,76,
2020,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,11,0,4,97,0,0,0,4,0,5,18,0,0,0,0,177,31,0,0,0,3,1,0,0,3,0,1,27,0,0,0,11,4,1,2,7,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,0,3,4,0,2,,0,0,13,0,0,0,0,0,42,4,0,6,31,64,17,54,1,11,1,3,0,0,0,2,0,0,0,0,0,6,0,0,0,33,7,0,0,0,0,33,394,126,0,0,0,8,0,4,4,16,18,0,119,4,52,
2020,Karnataka,29,Davangere,535,Davanagere,25,1,16,202,0,0,0,9,5,14,43,0,0,4,0,201,24,0,0,0,13,0,0,0,0,0,5,68,0,0,0,5,70,0,1,37,2,0,0,3,2,2,0,5,1,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,50,0,0,0,0,0,77,5,0,3,174,179,10,101,0,18,0,2,0,3,0,8,0,0,0,0,1,0,0,0,0,94,12,0,9,0,0,45,530,134,0,0,0,11,0,5,3,28,57,0,28,0,44,
2020,Karnataka,29,Dharwad,536,Dharwad,14,2,37,113,0,0,2,3,1,4,35,0,2,1,25,52,5,0,0,2,17,0,0,4,0,0,2,17,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,25,0,1,0,0,0,24,1,0,2,19,27,7,21,0,10,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,26,2,0,10,0,0,53,36,183,11,0,0,3,0,1,1,10,13,0,7,0,5,
2020,Karnataka,29,Gadag,537,Gadag,14,1,5,145,0,0,0,8,0,12,36,0,0,1,0,60,11,0,0,0,17,0,0,0,0,0,1,22,0,0,0,6,5,0,2,2,1,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,27,2,6,0,0,0,54,3,0,2,27,42,6,39,0,7,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,14,5,1,5,0,0,15,14,157,0,1,0,2,0,4,2,4,18,0,11,1,26,
2020,Karnataka,29,Kalaburagi,538,Kalaburgi,38,1,30,230,0,0,0,2,8,13,58,0,0,7,112,233,28,0,0,7,20,0,0,6,0,0,10,155,0,0,0,0,3,0,0,5,18,0,0,0,2,1,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,20,0,0,0,0,0,195,3,0,13,50,169,6,60,0,9,0,2,0,2,0,5,0,0,0,0,0,0,0,0,1,15,4,4,37,0,0,31,70,478,0,0,0,10,0,1,2,26,91,0,43,3,81,
2020,Karnataka,29,Hassan,539,Hassan,61,5,54,306,0,0,0,13,14,19,105,0,3,5,0,773,0,0,0,0,54,0,1,44,0,0,9,198,0,0,0,7,28,4,3,75,12,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,0,0,1,,0,0,52,0,0,0,0,0,95,2,0,5,120,87,37,92,0,21,0,9,0,0,1,1,0,0,0,0,1,0,0,0,0,88,2,6,13,0,0,0,567,845,0,0,0,13,0,5,13,41,64,0,90,2,257,
2020,Manipur,14,Chandel,253,Chandel,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,
2020,Karnataka,29,Haveri,540,Haveri,26,3,16,184,0,0,0,0,6,7,83,0,1,3,0,197,17,0,0,0,27,2,0,0,27,0,1,89,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,,0,0,97,0,98,0,0,0,0,0,0,3,101,121,9,73,0,9,0,13,0,1,0,12,0,0,0,0,1,0,0,0,0,46,8,12,5,0,0,41,116,303,9,0,0,9,0,1,5,12,35,0,8,0,2,
2020,Karnataka,29,Dharwad,536,Hubballi Dharwad City,15,4,3,84,0,0,0,8,1,16,42,0,1,5,44,93,17,0,0,1,11,0,0,1,2,0,3,22,0,0,0,1,0,0,1,20,2,0,0,0,0,0,0,3,2,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,12,5,24,0,1,0,5,1,0,11,184,59,12,78,3,31,1,0,0,1,0,7,0,0,0,0,0,1,0,0,0,54,2,1,42,0,0,52,64,139,0,0,0,0,0,3,1,13,62,0,20,0,64,
2020,Karnataka,29,Belagavi,527,K.G.F.,15,1,15,15,0,0,0,1,0,1,24,0,5,0,17,130,8,0,0,1,5,1,0,0,1,0,0,19,0,0,0,1,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,,2,1,12,6,8,0,0,0,7,2,0,2,27,14,5,29,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,25,0,0,24,0,0,5,25,70,0,0,0,1,0,6,2,1,6,0,24,0,8,
2020,Karnataka,29,Kodagu,541,Kodagu,28,1,0,62,0,0,0,3,0,5,53,0,1,0,0,308,0,0,0,0,14,0,0,0,0,0,5,28,0,0,0,9,5,0,2,19,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,6,0,8,23,81,25,48,0,2,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,34,1,0,4,0,0,0,0,325,18,2,0,6,0,11,1,27,37,0,22,1,34,
2020,Karnataka,29,Kolar,542,Kolar,29,3,34,151,0,0,0,3,6,10,63,0,1,3,25,276,11,1,0,7,16,0,0,15,0,0,5,40,0,0,0,12,17,2,1,42,1,0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,30,0,,10,6,51,28,20,0,0,0,35,1,0,1,75,42,14,45,0,9,1,2,0,1,0,9,0,0,0,0,0,0,0,0,0,41,10,2,105,0,1,54,121,191,121,0,0,2,1,7,8,35,11,0,49,1,21,
2020,Karnataka,29,Koppal,543,Koppal,16,2,11,200,0,0,0,3,3,14,19,0,2,1,88,23,12,0,0,0,16,0,0,3,0,0,5,72,0,0,0,4,27,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,27,0,10,0,0,0,52,1,0,7,41,167,6,46,0,8,0,1,0,0,0,12,0,0,0,0,0,0,0,0,3,64,4,0,17,0,4,47,26,241,0,0,0,3,0,6,2,49,56,0,43,2,232,
2020,Manipur,14,Churachandpur,254,Churachandpur,3,0,1,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,2,0,0,3,15,0,3,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,11,0,0,0,0,1,3,1,3,0,2,3,0,18,
2020,Karnataka,29,Mandya,544,Mandya,55,0,1,371,0,0,0,6,10,21,96,0,6,2,1,1064,0,0,0,0,15,0,0,46,0,0,87,278,1,0,0,1,1,0,0,81,15,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,1,0,2,4,0,,8,0,41,0,9,0,0,0,37,5,0,17,239,170,23,167,0,46,0,14,0,4,0,7,0,0,0,0,0,0,0,0,0,90,17,4,116,0,0,91,220,1057,0,0,0,8,0,19,9,70,78,0,63,2,172,
2020,Karnataka,29,Dakshina Kannada,534,Mangaluru City,18,0,2,112,0,0,0,8,0,3,37,0,0,0,87,72,28,0,0,3,15,0,0,3,21,0,5,43,0,0,0,9,0,2,1,17,8,0,0,0,0,0,0,0,2,0,0,0,15,0,0,1,0,0,2,0,0,2,0,0,1,,2,1,1,2,9,0,1,0,2,10,0,6,76,138,13,76,2,28,0,4,0,6,0,14,0,0,0,0,3,0,0,0,2,110,11,0,5,0,0,50,142,386,104,0,0,20,0,14,4,22,15,0,96,3,15,
2020,Karnataka,29,Mysuru,545,Mysuru City,27,0,9,106,0,0,0,2,6,13,57,0,1,5,109,212,19,0,0,3,10,0,0,0,0,0,5,51,0,0,0,5,14,0,1,46,2,0,0,1,0,0,0,0,1,0,0,0,16,0,0,1,1,0,0,0,0,0,2,0,0,,6,0,4,9,2,0,0,0,0,4,0,5,232,92,7,73,1,68,1,5,0,0,0,22,0,0,0,0,0,0,0,0,0,143,11,0,18,0,0,56,89,373,56,0,0,3,0,1,1,36,37,0,27,3,17,
2020,Karnataka,29,Mysuru,545,Mysuru District,41,5,12,347,0,0,0,2,10,27,98,1,5,4,136,494,40,0,0,10,36,0,0,0,14,0,29,179,0,0,0,5,31,1,1,60,7,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,10,0,0,,0,0,59,0,0,0,0,0,130,0,0,16,149,132,15,149,1,33,1,5,0,2,0,3,0,0,0,0,0,0,0,0,0,85,7,2,6,0,1,1006,0,0,0,0,0,9,0,11,14,53,46,0,136,0,16,
2020,Karnataka,29,Raichur,546,Raichur,39,3,19,254,0,0,0,5,1,15,77,3,1,4,0,198,31,51,0,0,50,0,0,0,0,0,13,142,0,0,0,11,8,0,0,21,0,0,0,0,1,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,38,0,0,,0,0,47,12,19,0,0,0,144,2,0,3,81,142,12,39,0,6,0,10,0,3,0,9,0,0,0,0,0,0,0,0,0,89,6,1,40,0,5,0,65,297,28,0,0,6,0,7,4,37,85,0,30,0,109,
2020,Karnataka,29,Bengaluru Urban,525,K.Railways,10,0,0,2,0,0,0,1,1,3,0,0,3,2,0,9,4,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,13,595,1,3,0,40,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,9,
2020,Karnataka,29,Ramanagara,631,Ramanagara,40,2,12,278,0,0,0,0,12,15,56,0,6,5,0,542,42,0,0,0,23,0,0,0,0,0,8,74,13,26,0,1,27,2,5,42,18,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,24,0,0,0,0,0,50,3,0,9,214,222,19,166,1,79,4,12,0,5,0,8,0,0,0,0,0,0,0,0,0,138,10,3,77,0,0,134,662,165,115,0,0,2,0,9,8,85,29,0,75,0,42,
2020,Karnataka,29,Shivamogga,547,Shimoga,41,1,21,249,0,0,0,22,6,28,119,0,5,3,49,599,52,5,0,5,20,0,0,0,3,0,12,158,1,0,1,14,68,1,7,79,3,0,0,0,1,0,0,2,1,0,0,0,8,2,0,0,0,0,0,0,0,4,0,26,0,,7,0,87,2,17,0,0,0,122,7,0,10,171,141,19,141,14,42,4,7,1,16,1,2,0,0,0,0,0,0,0,0,0,105,4,2,14,0,0,114,454,432,0,0,0,9,0,8,20,55,63,0,148,1,57,
2020,Karnataka,29,Tumakuru,548,Tumakuru,48,1,67,550,0,0,0,7,4,15,59,0,6,10,75,511,46,0,5,6,20,0,0,0,0,0,2,40,0,0,0,104,18,0,5,56,5,0,0,0,2,0,0,21,0,0,0,0,8,0,0,1,0,0,0,0,0,10,0,1,0,,17,6,54,5,14,0,0,0,5,5,0,3,220,169,43,149,0,65,3,7,0,9,0,6,0,0,0,0,0,5,9,13,9,66,9,26,146,0,0,218,428,864,50,0,0,9,0,5,14,72,47,0,65,2,43,
2020,Karnataka,29,Udupi,549,Udupi,9,2,6,171,0,0,0,5,1,7,19,0,2,1,19,130,22,0,0,3,7,0,0,0,0,0,3,50,0,0,2,5,10,0,3,16,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,1,,0,1,19,0,25,0,0,0,0,1,0,2,24,43,3,42,2,27,2,3,0,0,0,11,0,0,0,0,0,0,0,0,0,106,4,0,2,0,0,65,103,645,0,1,0,4,0,4,1,24,32,0,28,4,168,
2020,Karnataka,29,Uttara Kannada,550,Uttara Kannada,10,1,12,188,0,0,0,15,1,15,36,0,0,1,62,224,25,0,0,3,21,0,1,0,0,0,6,99,0,0,0,3,17,2,3,23,4,0,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,,2,0,40,7,62,0,0,0,0,0,0,7,27,50,7,95,2,15,0,7,0,5,0,42,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,79,396,216,0,0,0,2,0,0,6,15,27,0,28,2,148,
2020,Karnataka,29,Yadgir,635,Yadgiri,23,1,6,128,0,0,0,4,1,6,30,2,0,4,22,116,6,0,1,4,21,0,0,3,1,0,11,135,0,0,0,3,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,,2,2,45,3,12,2,0,0,59,1,0,2,40,84,6,19,1,8,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,19,3,3,24,0,15,18,14,239,0,0,0,2,0,5,2,29,42,9,24,0,36,
2020,Karnataka,29,Belagavi,527,Belagavi City,23,0,15,94,0,0,0,7,0,6,53,2,3,1,6,107,8,0,0,4,11,0,0,0,2,0,0,13,0,0,0,3,8,0,1,11,3,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,18,3,8,0,0,0,37,8,0,7,145,35,25,57,1,9,1,1,0,1,0,4,0,0,0,0,0,0,2,0,0,59,2,0,4,0,0,27,25,260,0,0,0,0,0,9,8,9,47,0,10,0,19,
2020,Karnataka,29,Kalaburagi,538,Kalaburgi City,27,2,13,92,0,0,0,1,0,5,52,2,2,3,84,7,14,0,0,2,11,0,0,4,0,0,4,34,0,0,0,0,0,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,67,1,0,0,139,33,15,68,0,32,0,1,0,10,0,0,0,0,0,0,0,0,0,0,2,33,7,1,46,0,0,75,65,172,18,0,0,3,0,3,3,15,51,0,12,3,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Karnataka,29,Bagalkote,524,Bagalkot,39,2,29,292,0,0,0,13,0,15,75,0,0,3,0,116,10,0,0,0,36,0,0,10,0,0,2,46,0,0,0,1,103,1,2,32,0,0,0,2,1,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,,0,0,21,0,0,0,0,0,65,0,0,0,149,69,15,81,0,13,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,82,8,0,0,0,0,37,39,405,0,0,0,15,0,1,3,19,38,0,38,0,80,
2021,Karnataka,29,Bengaluru Urban,525,Bengaluru City,155,17,178,466,0,0,30,100,26,103,371,9,16,21,454,1344,144,27,1,38,94,0,2,7,56,0,33,357,10,4,1,86,53,6,68,739,27,1,0,27,3,3,0,11,4,0,0,0,117,0,0,0,1,0,0,0,1,2,0,0,1,,3,0,29,9,10,0,0,0,55,10,0,72,4124,1942,135,654,79,505,25,36,0,294,0,163,0,0,0,0,20,19,0,2,341,2050,120,1,15,0,0,419,516,1719,974,0,2,17,0,81,39,323,429,5,348,19,730,
2021,Mizoram,15,Aizawl,261,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Karnataka,29,Bengaluru Urban,525,Bengaluru District,51,5,153,344,0,0,0,2,11,28,73,0,3,4,386,31,24,56,0,0,29,0,0,0,0,0,10,55,5,45,0,0,2,0,14,132,28,0,0,6,1,0,0,1,0,0,0,0,17,0,1,0,4,0,0,0,1,5,5,0,0,,0,0,41,0,17,0,0,0,58,5,0,6,723,337,43,211,3,112,0,9,0,26,0,34,0,0,0,0,1,0,0,0,0,322,19,2,29,0,0,278,568,400,51,0,2,6,0,10,11,97,94,0,91,3,38,
