State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,556,0011,000000,0000,000000,KARNATAKA,Bagalkot,CD BLOCK,Jamkhandi,Total,55639,298146,151059,147087,45338,23391,21947,52059,25789,26270,4711,2360,2351,160026,92434,67592,138120,58625,79495,125318,79836,45482,107583,73969,33614,48911,38922,9989,39614,20551,19063,2691,1933,758,16367,12563,3804,17735,5867,11868,2316,920,1396,11732,3054,8678,858,427,431,2829,1466,1363,15900,5252,10648,1912,783,1129,10909,2851,8058,713,346,367,2366,1272,1094,1835,615,1220,404,137,267,823,203,620,145,81,64,463,194,269,172828,71223,101605
29,556,0011,000000,0000,000000,KARNATAKA,Bagalkot,CD BLOCK,Jamkhandi,Rural,55639,298146,151059,147087,45338,23391,21947,52059,25789,26270,4711,2360,2351,160026,92434,67592,138120,58625,79495,125318,79836,45482,107583,73969,33614,48911,38922,9989,39614,20551,19063,2691,1933,758,16367,12563,3804,17735,5867,11868,2316,920,1396,11732,3054,8678,858,427,431,2829,1466,1363,15900,5252,10648,1912,783,1129,10909,2851,8058,713,346,367,2366,1272,1094,1835,615,1220,404,137,267,823,203,620,145,81,64,463,194,269,172828,71223,101605
29,556,0011,000000,0000,000000,KARNATAKA,Bagalkot,CD BLOCK,Jamkhandi,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,556,0011,598402,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Kalhatti,Rural,84,437,230,207,68,42,26,20,11,9,0,0,0,268,159,109,169,71,98,249,125,124,95,91,4,79,78,1,7,5,2,0,0,0,9,8,1,154,34,120,19,18,1,130,12,118,0,0,0,5,4,1,152,33,119,19,18,1,129,12,117,0,0,0,4,3,1,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,188,105,83
29,556,0011,598403,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Terdal (Rural),Rural,938,5548,2871,2677,846,437,409,583,305,278,24,12,12,3117,1819,1298,2431,1052,1379,2443,1619,824,2185,1568,617,1286,1123,163,776,332,444,0,0,0,123,113,10,258,51,207,31,21,10,209,16,193,3,2,1,15,12,3,255,49,206,30,21,9,209,16,193,2,1,1,14,11,3,3,2,1,1,0,1,0,0,0,1,1,0,1,1,0,3105,1252,1853
29,556,0011,598404,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Tamadaddi,Rural,653,3101,1548,1553,409,210,199,882,425,457,0,0,0,1754,1025,729,1347,523,824,1368,867,501,1351,863,488,459,403,56,750,381,369,13,12,1,129,67,62,17,4,13,6,1,5,7,0,7,0,0,0,4,3,1,16,4,12,6,1,5,6,0,6,0,0,0,4,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1733,681,1052
29,556,0011,598405,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Halingali,Rural,1455,7363,3845,3518,984,538,446,1856,935,921,9,3,6,4169,2507,1662,3194,1338,1856,2846,1980,866,2734,1927,807,798,766,32,1410,744,666,59,50,9,467,367,100,112,53,59,8,7,1,81,34,47,4,3,1,19,9,10,107,51,56,8,7,1,77,33,44,4,3,1,18,8,10,5,2,3,0,0,0,4,1,3,0,0,0,1,1,0,4517,1865,2652
29,556,0011,598406,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Madanamatti,Rural,224,1207,599,608,189,104,85,130,57,73,0,0,0,660,382,278,547,217,330,337,321,16,332,317,15,167,165,2,52,46,6,1,1,0,112,105,7,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,870,278,592
29,556,0011,598407,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Asangi,Rural,1004,5787,2953,2834,760,387,373,910,471,439,19,9,10,3263,1906,1357,2524,1047,1477,2233,1633,600,2165,1584,581,660,496,164,702,425,277,230,173,57,573,490,83,68,49,19,2,1,1,52,37,15,2,0,2,12,11,1,63,45,18,2,1,1,47,33,14,2,0,2,12,11,1,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,3554,1320,2234
29,556,0011,598408,0000,000000,KARNATAKA,Bagalkot,VILLAGE,Kulhalli,Rural,1559,8353,4269,4084,1353,711,642,1702,823,879,42,20,22,4203,2477,1726,4150,1792,2358,3720,2272,1448,2951,2016,935,1317,1029,288,1125,617,508,35,25,10,474,345,129,769,256,513,84,41,43,509,86,423,26,21,5,150,108,42,634,157,477,67,34,33,470,69,401,14,9,5,83,45,38,135,99,36,17,7,10,39,17,22,12,12,0,67,63,4,4633,1997,2636
