State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,573,0114,000000,0000,000000,KARNATAKA,Mandya,CD BLOCK,Krishnarajpet ,Total,54766,234533,117259,117274,22071,11252,10819,29691,14803,14888,5620,2859,2761,146011,83300,62711,88522,33959,54563,120060,77200,42860,94585,70452,24133,67731,53716,14015,13729,7229,6500,1302,906,396,11823,8601,3222,25475,6748,18727,8144,2169,5975,11321,2454,8867,900,279,621,5110,1846,3264,22556,5698,16858,6897,1844,5053,10655,2190,8465,724,215,509,4280,1449,2831,2919,1050,1869,1247,325,922,666,264,402,176,64,112,830,397,433,114473,40059,74414
29,573,0114,000000,0000,000000,KARNATAKA,Mandya,CD BLOCK,Krishnarajpet ,Rural,54766,234533,117259,117274,22071,11252,10819,29691,14803,14888,5620,2859,2761,146011,83300,62711,88522,33959,54563,120060,77200,42860,94585,70452,24133,67731,53716,14015,13729,7229,6500,1302,906,396,11823,8601,3222,25475,6748,18727,8144,2169,5975,11321,2454,8867,900,279,621,5110,1846,3264,22556,5698,16858,6897,1844,5053,10655,2190,8465,724,215,509,4280,1449,2831,2919,1050,1869,1247,325,922,666,264,402,176,64,112,830,397,433,114473,40059,74414
29,573,0114,000000,0000,000000,KARNATAKA,Mandya,CD BLOCK,Krishnarajpet ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,573,0114,613361,0000,000000,KARNATAKA,Mandya,VILLAGE,Gondihalli,Rural,217,925,454,471,95,48,47,100,54,46,0,0,0,553,313,240,372,141,231,537,299,238,338,259,79,271,213,58,25,13,12,2,0,2,40,33,7,199,40,159,187,35,152,9,4,5,0,0,0,3,1,2,160,32,128,149,27,122,9,4,5,0,0,0,2,1,1,39,8,31,38,8,30,0,0,0,0,0,0,1,0,1,388,155,233
29,573,0114,613362,0000,000000,KARNATAKA,Mandya,VILLAGE,Madapuranala,Rural,18,62,31,31,4,3,1,49,24,25,0,0,0,38,20,18,24,11,13,36,19,17,27,15,12,26,14,12,0,0,0,0,0,0,1,1,0,9,4,5,0,0,0,9,4,5,0,0,0,0,0,0,9,4,5,0,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,14
29,573,0114,613363,0000,000000,KARNATAKA,Mandya,VILLAGE,Madapura,Rural,413,1509,732,777,129,59,70,61,26,35,139,69,70,1024,578,446,485,154,331,945,529,416,858,510,348,709,432,277,50,14,36,9,7,2,90,57,33,87,19,68,21,6,15,28,3,25,6,2,4,32,8,24,84,18,66,21,6,15,28,3,25,3,1,2,32,8,24,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,564,203,361
29,573,0114,613364,0000,000000,KARNATAKA,Mandya,VILLAGE,Halemadapura,Rural,83,356,173,183,34,14,20,9,5,4,0,0,0,238,137,101,118,36,82,220,117,103,217,116,101,213,115,98,0,0,0,1,0,1,3,1,2,3,1,2,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,136,56,80
29,573,0114,613365,0000,000000,KARNATAKA,Mandya,VILLAGE,Ganadahalli,Rural,54,277,145,132,33,16,17,21,11,10,0,0,0,160,103,57,117,42,75,109,95,14,87,83,4,81,79,2,4,3,1,0,0,0,2,1,1,22,12,10,0,0,0,20,10,10,0,0,0,2,2,0,21,12,9,0,0,0,19,10,9,0,0,0,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,168,50,118
29,573,0114,613366,0000,000000,KARNATAKA,Mandya,VILLAGE,Gudehosahalli,Rural,239,1059,541,518,104,65,39,66,30,36,0,0,0,685,398,287,374,143,231,380,358,22,364,347,17,286,283,3,28,21,7,0,0,0,50,43,7,16,11,5,2,1,1,8,4,4,1,1,0,5,5,0,13,8,5,2,1,1,7,3,4,1,1,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,679,183,496
29,573,0114,613367,0000,000000,KARNATAKA,Mandya,VILLAGE,Kadahemmige,Rural,246,1126,566,560,102,53,49,33,18,15,1,0,1,718,430,288,408,136,272,320,304,16,295,279,16,269,258,11,3,3,0,2,2,0,21,16,5,25,25,0,9,9,0,3,3,0,1,1,0,12,12,0,25,25,0,9,9,0,3,3,0,1,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,262,544
29,573,0114,613368,0000,000000,KARNATAKA,Mandya,VILLAGE,Bolamaranahalli,Rural,216,912,447,465,78,40,38,61,27,34,4,1,3,670,364,306,242,83,159,285,264,21,246,234,12,176,172,4,9,9,0,0,0,0,61,53,8,39,30,9,6,6,0,2,2,0,1,1,0,30,21,9,34,28,6,5,5,0,1,1,0,1,1,0,27,21,6,5,2,3,1,1,0,1,1,0,0,0,0,3,0,3,627,183,444
29,573,0114,613369,0000,000000,KARNATAKA,Mandya,VILLAGE,Anegola,Rural,288,1164,574,590,87,43,44,6,4,2,45,21,24,848,451,397,316,123,193,540,362,178,518,355,163,275,191,84,72,33,39,6,5,1,165,126,39,22,7,15,4,1,3,5,0,5,0,0,0,13,6,7,18,4,14,4,1,3,4,0,4,0,0,0,10,3,7,4,3,1,0,0,0,1,0,1,0,0,0,3,3,0,624,212,412
29,573,0114,613370,0000,000000,KARNATAKA,Mandya,VILLAGE,Doddatharahalli,Rural,370,1571,777,794,114,54,60,79,42,37,0,0,0,1049,615,434,522,162,360,648,558,90,592,549,43,486,470,16,17,3,14,3,3,0,86,73,13,56,9,47,17,2,15,26,1,25,0,0,0,13,6,7,25,4,21,9,1,8,10,1,9,0,0,0,6,2,4,31,5,26,8,1,7,16,0,16,0,0,0,7,4,3,923,219,704
29,573,0114,613371,0000,000000,KARNATAKA,Mandya,VILLAGE,Chikkatharahalli,Rural,191,888,443,445,73,36,37,175,91,84,0,0,0,603,350,253,285,93,192,508,289,219,237,229,8,190,185,5,2,1,1,6,6,0,39,37,2,271,60,211,13,12,1,9,6,3,5,1,4,244,41,203,270,59,211,13,12,1,8,5,3,5,1,4,244,41,203,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,380,154,226
29,573,0114,613372,0000,000000,KARNATAKA,Mandya,VILLAGE,Anchebeeranahalli,Rural,267,1134,554,580,90,49,41,151,82,69,1,0,1,703,399,304,431,155,276,729,378,351,610,335,275,495,264,231,96,56,40,4,2,2,15,13,2,119,43,76,40,13,27,59,25,34,9,2,7,11,3,8,107,40,67,35,11,24,56,25,31,9,2,7,7,2,5,12,3,9,5,2,3,3,0,3,0,0,0,4,1,3,405,176,229
29,573,0114,613373,0000,000000,KARNATAKA,Mandya,VILLAGE,Mandalekanahalli,Rural,124,515,271,244,40,17,23,300,150,150,0,0,0,292,190,102,223,81,142,342,174,168,295,151,144,234,123,111,20,8,12,31,15,16,10,5,5,47,23,24,20,16,4,18,2,16,3,1,2,6,4,2,47,23,24,20,16,4,18,2,16,3,1,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,97,76
29,573,0114,613374,0000,000000,KARNATAKA,Mandya,VILLAGE,Ooginahalli,Rural,188,821,423,398,77,39,38,6,4,2,66,34,32,498,304,194,323,119,204,520,285,235,507,279,228,265,151,114,21,8,13,9,4,5,212,116,96,13,6,7,5,3,2,2,0,2,0,0,0,6,3,3,13,6,7,5,3,2,2,0,2,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,138,163
29,573,0114,613375,0000,000000,KARNATAKA,Mandya,VILLAGE,Echaluguddekaval,Rural,19,97,50,47,16,8,8,0,0,0,0,0,0,56,32,24,41,18,23,48,31,17,48,31,17,45,28,17,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,19,30
29,573,0114,613376,0000,000000,KARNATAKA,Mandya,VILLAGE,Chinnenahalli,Rural,165,736,365,371,71,41,30,23,8,15,0,0,0,457,257,200,279,108,171,456,266,190,430,266,164,376,231,145,18,5,13,0,0,0,36,30,6,26,0,26,22,0,22,0,0,0,0,0,0,4,0,4,15,0,15,14,0,14,0,0,0,0,0,0,1,0,1,11,0,11,8,0,8,0,0,0,0,0,0,3,0,3,280,99,181
29,573,0114,613377,0000,000000,KARNATAKA,Mandya,VILLAGE,Kotahalli,Rural,162,686,347,339,38,22,16,89,41,48,2,1,1,456,267,189,230,80,150,520,259,261,499,250,249,482,241,241,0,0,0,7,5,2,10,4,6,21,9,12,4,1,3,0,0,0,0,0,0,17,8,9,21,9,12,4,1,3,0,0,0,0,0,0,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,88,78
29,573,0114,613378,0000,000000,KARNATAKA,Mandya,VILLAGE,Dananahalli,Rural,68,312,155,157,37,20,17,14,8,6,0,0,0,158,95,63,154,60,94,96,91,5,96,91,5,62,61,1,32,30,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,64,152
29,573,0114,613379,0000,000000,KARNATAKA,Mandya,VILLAGE,Bidaranalli,Rural,69,345,174,171,35,14,21,6,3,3,0,0,0,183,109,74,162,65,97,112,102,10,110,101,9,71,68,3,22,16,6,1,1,0,16,16,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,233,72,161
29,573,0114,613380,0000,000000,KARNATAKA,Mandya,VILLAGE,Margonahalli,Rural,220,1112,559,553,127,67,60,150,72,78,0,0,0,642,372,270,470,187,283,396,364,32,390,358,32,253,238,15,96,83,13,1,1,0,40,36,4,6,6,0,3,3,0,2,2,0,0,0,0,1,1,0,6,6,0,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,195,521
29,573,0114,613381,0000,000000,KARNATAKA,Mandya,VILLAGE,Govindanahalli,Rural,513,2227,1090,1137,214,95,119,39,20,19,15,7,8,1374,749,625,853,341,512,922,713,209,818,701,117,616,578,38,126,61,65,1,1,0,75,61,14,104,12,92,93,7,86,8,3,5,2,1,1,1,1,0,101,11,90,92,7,85,7,3,4,1,0,1,1,1,0,3,1,2,1,0,1,1,0,1,1,1,0,0,0,0,1305,377,928
29,573,0114,613382,0000,000000,KARNATAKA,Mandya,VILLAGE,Uddinamallanahosur,Rural,113,520,251,269,68,29,39,3,1,2,0,0,0,277,149,128,243,102,141,324,172,152,300,160,140,185,135,50,6,0,6,4,2,2,105,23,82,24,12,12,5,3,2,0,0,0,0,0,0,19,9,10,24,12,12,5,3,2,0,0,0,0,0,0,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,79,117
29,573,0114,613383,0000,000000,KARNATAKA,Mandya,VILLAGE,Tholasi,Rural,231,965,491,474,106,52,54,155,87,68,4,1,3,506,319,187,459,172,287,506,322,184,325,309,16,311,297,14,7,5,2,1,1,0,6,6,0,181,13,168,7,4,3,160,3,157,0,0,0,14,6,8,181,13,168,7,4,3,160,3,157,0,0,0,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,169,290
