State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,575,0129,000000,0000,000000,KARNATAKA,Dakshina Kannada,CD BLOCK,Mangalore,Total,83789,405156,199044,206112,40024,20724,19300,22702,11300,11402,8077,4023,4054,324015,166775,157240,81141,32269,48872,193865,118627,75238,176376,109339,67037,8815,6654,2161,6338,4476,1862,37134,3072,34062,124089,95137,28952,17489,9288,8201,815,460,355,1529,802,727,3738,344,3394,11407,7682,3725,14946,7970,6976,708,415,293,1286,702,584,3281,285,2996,9671,6568,3103,2543,1318,1225,107,45,62,243,100,143,457,59,398,1736,1114,622,211291,80417,130874
29,575,0129,000000,0000,000000,KARNATAKA,Dakshina Kannada,CD BLOCK,Mangalore,Rural,44003,210033,102613,107420,19794,10239,9555,15975,7956,8019,6279,3129,3150,165928,85379,80549,44105,17234,26871,105524,62203,43321,94206,56430,37776,7022,5309,1713,5033,3589,1444,21749,1933,19816,60402,45599,14803,11318,5773,5545,648,373,275,1205,656,549,2642,237,2405,6823,4507,2316,9953,5061,4892,577,335,242,1031,576,455,2405,194,2211,5940,3956,1984,1365,712,653,71,38,33,174,80,94,237,43,194,883,551,332,104509,40410,64099
29,575,0129,000000,0000,000000,KARNATAKA,Dakshina Kannada,CD BLOCK,Mangalore,Urban,39786,195123,96431,98692,20230,10485,9745,6727,3344,3383,1798,894,904,158087,81396,76691,37036,15035,22001,88341,56424,31917,82170,52909,29261,1793,1345,448,1305,887,418,15385,1139,14246,63687,49538,14149,6171,3515,2656,167,87,80,324,146,178,1096,107,989,4584,3175,1409,4993,2909,2084,131,80,51,255,126,129,876,91,785,3731,2612,1119,1178,606,572,36,7,29,69,20,49,220,16,204,853,563,290,106782,40007,66775
29,575,0129,617425,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Athikari Bettu,Rural,541,2219,1031,1188,152,80,72,134,77,57,20,13,7,1875,908,967,344,123,221,1101,617,484,856,497,359,94,65,29,21,19,2,12,7,5,729,406,323,245,120,125,43,25,18,86,52,34,20,6,14,96,37,59,235,117,118,42,24,18,80,51,29,18,5,13,95,37,58,10,3,7,1,1,0,6,1,5,2,1,1,1,0,1,1118,414,704
29,575,0129,617426,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Karnire,Rural,204,920,420,500,73,35,38,15,8,7,21,12,9,772,369,403,148,51,97,418,242,176,401,230,171,50,33,17,65,22,43,91,15,76,195,160,35,17,12,5,2,1,1,5,3,2,4,3,1,6,5,1,15,11,4,2,1,1,5,3,2,3,2,1,5,5,0,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,502,178,324
29,575,0129,617427,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Balkunje,Rural,352,1551,656,895,126,52,74,119,34,85,39,19,20,1318,580,738,233,76,157,594,367,227,479,291,188,81,57,24,50,29,21,71,4,67,277,201,76,115,76,39,2,1,1,8,8,0,13,0,13,92,67,25,114,76,38,2,1,1,8,8,0,13,0,13,91,67,24,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,957,289,668
29,575,0129,617428,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Ulipady,Rural,238,1032,452,580,90,38,52,92,44,48,34,17,17,819,381,438,213,71,142,560,272,288,495,247,248,120,64,56,65,37,28,127,11,116,183,135,48,65,25,40,44,10,34,13,8,5,0,0,0,8,7,1,63,24,39,44,10,34,11,7,4,0,0,0,8,7,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,472,180,292
29,575,0129,617429,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Kollur,Rural,184,778,369,409,68,28,40,63,30,33,59,29,30,649,326,323,129,43,86,415,233,182,349,194,155,77,63,14,17,11,6,104,3,101,151,117,34,66,39,27,1,1,0,1,1,0,4,0,4,60,37,23,61,36,25,1,1,0,1,1,0,4,0,4,55,34,21,5,3,2,0,0,0,0,0,0,0,0,0,5,3,2,363,136,227
29,575,0129,617430,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Kavathar,Rural,357,1529,724,805,144,68,76,258,124,134,136,59,77,1187,603,584,342,121,221,872,455,417,751,391,360,74,53,21,99,59,40,173,10,163,405,269,136,121,64,57,6,4,2,42,23,19,24,8,16,49,29,20,62,34,28,3,2,1,11,5,6,10,5,5,38,22,16,59,30,29,3,2,1,31,18,13,14,3,11,11,7,4,657,269,388
29,575,0129,617431,0000,000000,KARNATAKA,Dakshina Kannada,VILLAGE,Shimanthur,Rural,368,1607,773,834,143,77,66,187,100,87,13,6,7,1309,657,652,298,116,182,1051,563,488,377,219,158,86,44,42,11,7,4,60,9,51,220,159,61,674,344,330,20,14,6,43,31,12,62,3,59,549,296,253,509,274,235,16,12,4,42,30,12,60,3,57,391,229,162,165,70,95,4,2,2,1,1,0,2,0,2,158,67,91,556,210,346
