State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
29,570,0093,000000,0000,000000,KARNATAKA,Chikmagalur,CD BLOCK,Sringeri ,Total,8148,32617,16044,16573,2606,1312,1294,3940,1912,2028,2917,1404,1513,25610,13233,12377,7007,2811,4196,13592,10083,3509,12238,9510,2728,4283,3919,364,3356,2160,1196,204,155,49,4395,3276,1119,1354,573,781,337,80,257,615,284,331,51,20,31,351,189,162,1183,542,641,280,75,205,553,275,278,43,15,28,307,177,130,171,31,140,57,5,52,62,9,53,8,5,3,44,12,32,19025,5961,13064
29,570,0093,000000,0000,000000,KARNATAKA,Chikmagalur,CD BLOCK,Sringeri ,Rural,8148,32617,16044,16573,2606,1312,1294,3940,1912,2028,2917,1404,1513,25610,13233,12377,7007,2811,4196,13592,10083,3509,12238,9510,2728,4283,3919,364,3356,2160,1196,204,155,49,4395,3276,1119,1354,573,781,337,80,257,615,284,331,51,20,31,351,189,162,1183,542,641,280,75,205,553,275,278,43,15,28,307,177,130,171,31,140,57,5,52,62,9,53,8,5,3,44,12,32,19025,5961,13064
29,570,0093,000000,0000,000000,KARNATAKA,Chikmagalur,CD BLOCK,Sringeri ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,570,0093,608915,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Asanabalu,Rural,183,723,368,355,72,39,33,10,5,5,29,13,16,546,301,245,177,67,110,259,236,23,234,212,22,178,176,2,15,14,1,2,2,0,39,20,19,25,24,1,0,0,0,24,24,0,0,0,0,1,0,1,24,24,0,0,0,0,24,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,464,132,332
29,570,0093,608916,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Begar,Rural,178,852,403,449,64,35,29,95,45,50,51,16,35,715,347,368,137,56,81,228,185,43,221,181,40,64,59,5,33,29,4,19,18,1,105,75,30,7,4,3,1,1,0,1,0,1,0,0,0,5,3,2,7,4,3,1,1,0,1,0,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,218,406
29,570,0093,608917,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Kumbaragodu,Rural,58,221,104,117,24,15,9,2,2,0,0,0,0,177,84,93,44,20,24,67,61,6,67,61,6,53,53,0,1,1,0,1,0,1,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,43,111
29,570,0093,608918,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Neelandur,Rural,217,823,376,447,72,38,34,131,66,65,19,10,9,608,284,324,215,92,123,311,239,72,169,148,21,107,103,4,5,5,0,9,8,1,48,32,16,142,91,51,2,1,1,24,23,1,6,1,5,110,66,44,133,85,48,2,1,1,23,22,1,4,1,3,104,61,43,9,6,3,0,0,0,1,1,0,2,0,2,6,5,1,512,137,375
29,570,0093,608919,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Meega,Rural,177,662,324,338,61,29,32,40,23,17,1,1,0,501,262,239,161,62,99,306,211,95,284,197,87,124,104,20,114,60,54,2,2,0,44,31,13,22,14,8,9,6,3,9,4,5,4,4,0,0,0,0,20,12,8,9,6,3,9,4,5,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,356,113,243
29,570,0093,608920,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,K.Masige,Rural,76,286,142,144,29,12,17,0,0,0,277,137,140,146,78,68,140,64,76,99,88,11,92,81,11,10,10,0,37,37,0,15,12,3,30,22,8,7,7,0,0,0,0,4,4,0,3,3,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,187,54,133
29,570,0093,608921,0000,000000,KARNATAKA,Chikmagalur,VILLAGE,Rushyashringapura (Markal),Rural,394,1501,721,780,115,58,57,119,61,58,174,79,95,1179,591,588,322,130,192,625,486,139,604,474,130,185,169,16,305,219,86,4,3,1,110,83,27,21,12,9,5,2,3,6,4,2,4,2,2,6,4,2,21,12,9,5,2,3,6,4,2,4,2,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,235,641
